#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA1	LPL	9606.ENSP00000363868	9606.ENSP00000309757	0	0	0	0	0.056	0	0	0.676	0.681
ABCA1	LEP	9606.ENSP00000363868	9606.ENSP00000312652	0	0	0	0	0	0	0	0.449	0.449
ABCA1	NR1I2	9606.ENSP00000363868	9606.ENSP00000336528	0	0	0	0	0	0.076	0	0.449	0.469
ABCA1	MMP9	9606.ENSP00000363868	9606.ENSP00000361405	0	0	0	0	0.061	0	0	0.613	0.621
ABCA1	TLR4	9606.ENSP00000363868	9606.ENSP00000363089	0	0	0	0	0.107	0.050	0	0.477	0.518
ABCA1	IL10	9606.ENSP00000363868	9606.ENSP00000412237	0	0	0	0	0	0	0	0.416	0.416
ABCA1	AKT1	9606.ENSP00000363868	9606.ENSP00000451828	0	0	0	0	0.062	0.056	0	0.447	0.467
ABCA1	IL6	9606.ENSP00000363868	9606.ENSP00000385675	0	0	0	0	0.058	0	0	0.538	0.546
ABCA1	INS	9606.ENSP00000363868	9606.ENSP00000380432	0	0	0	0	0	0	0	0.644	0.644
ABCA1	TNF	9606.ENSP00000363868	9606.ENSP00000398698	0	0	0	0	0	0	0	0.689	0.689
ABCA1	LDLR	9606.ENSP00000363868	9606.ENSP00000454071	0	0	0	0	0	0	0	0.819	0.819
ABCA1	PPARA	9606.ENSP00000363868	9606.ENSP00000385523	0	0	0	0	0.061	0.076	0.900	0.570	0.957
ADRB1	SLC6A2	9606.ENSP00000358301	9606.ENSP00000219833	0	0	0	0	0	0.073	0	0.556	0.570
ADRB1	NOS3	9606.ENSP00000358301	9606.ENSP00000297494	0	0	0	0	0.061	0	0	0.532	0.541
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0	0	0.937	0	0.299	0.900	0.864	0.930
ADRB1	LEP	9606.ENSP00000358301	9606.ENSP00000312652	0	0	0	0	0	0	0	0.403	0.403
ADRB1	SLC2A4	9606.ENSP00000358301	9606.ENSP00000320935	0	0	0	0	0	0	0	0.560	0.560
ADRB1	ADRB3	9606.ENSP00000358301	9606.ENSP00000343782	0	0	0	0.931	0	0	0.900	0.767	0.905
ADRB1	AKT1	9606.ENSP00000358301	9606.ENSP00000451828	0	0	0	0	0	0.072	0	0.400	0.419
ADRB1	NOS1	9606.ENSP00000358301	9606.ENSP00000477999	0	0	0	0	0	0.305	0	0.397	0.562
ADRB1	EDN1	9606.ENSP00000358301	9606.ENSP00000368683	0	0	0	0	0	0.157	0	0.550	0.604
ADRB1	INS	9606.ENSP00000358301	9606.ENSP00000380432	0	0	0	0	0	0	0	0.651	0.651
ADRB1	GCG	9606.ENSP00000358301	9606.ENSP00000387662	0	0	0	0	0	0	0.900	0.474	0.945
ADRB2	SLC6A2	9606.ENSP00000305372	9606.ENSP00000219833	0	0	0	0	0	0.073	0	0.538	0.553
ADRB2	APOB	9606.ENSP00000305372	9606.ENSP00000233242	0	0	0	0	0	0	0.900	0.459	0.943
ADRB2	IL1B	9606.ENSP00000305372	9606.ENSP00000263341	0	0	0	0	0.088	0.379	0	0.624	0.768
ADRB2	ICAM1	9606.ENSP00000305372	9606.ENSP00000264832	0	0	0	0	0	0	0	0.529	0.529
ADRB2	EGFR	9606.ENSP00000305372	9606.ENSP00000275493	0	0	0	0	0	0.186	0.900	0.293	0.937
ADRB2	PPARG	9606.ENSP00000305372	9606.ENSP00000287820	0	0	0	0	0	0	0	0.416	0.416
ADRB2	NOS3	9606.ENSP00000305372	9606.ENSP00000297494	0	0	0	0	0	0	0	0.539	0.539
ADRB2	INSR	9606.ENSP00000305372	9606.ENSP00000303830	0	0	0	0	0	0.399	0	0.211	0.505
ADRB2	PRKCD	9606.ENSP00000305372	9606.ENSP00000378217	0	0	0	0	0	0.379	0	0.147	0.448
ADRB2	AKT1	9606.ENSP00000305372	9606.ENSP00000451828	0	0	0	0	0	0.072	0	0.440	0.458
ADRB2	IL6	9606.ENSP00000305372	9606.ENSP00000385675	0	0	0	0	0.063	0	0	0.447	0.459
ADRB2	TNF	9606.ENSP00000305372	9606.ENSP00000398698	0	0	0	0	0.065	0	0	0.448	0.461
ADRB2	LEP	9606.ENSP00000305372	9606.ENSP00000312652	0	0	0	0	0	0	0	0.476	0.476
ADRB2	NOS1	9606.ENSP00000305372	9606.ENSP00000477999	0	0	0	0	0	0.305	0	0.354	0.531
ADRB2	SRC	9606.ENSP00000305372	9606.ENSP00000362680	0	0	0	0	0	0.399	0	0.358	0.597
ADRB2	BDNF	9606.ENSP00000305372	9606.ENSP00000414303	0	0	0	0	0	0	0	0.639	0.639
ADRB2	INS	9606.ENSP00000305372	9606.ENSP00000380432	0	0	0	0	0	0	0	0.668	0.668
ADRB2	LDLR	9606.ENSP00000305372	9606.ENSP00000454071	0	0	0	0	0	0.062	0.900	0.206	0.919
ADRB2	ADRB3	9606.ENSP00000305372	9606.ENSP00000343782	0	0	0	0.919	0	0.379	0.900	0.772	0.939
ADRB2	GCG	9606.ENSP00000305372	9606.ENSP00000387662	0	0	0	0	0	0	0.900	0.476	0.945
ADRB2	EDN1	9606.ENSP00000305372	9606.ENSP00000368683	0	0	0	0	0	0.157	0.900	0.546	0.958
ADRB3	SLC6A2	9606.ENSP00000343782	9606.ENSP00000219833	0	0	0	0	0	0.073	0	0.492	0.508
ADRB3	PPARG	9606.ENSP00000343782	9606.ENSP00000287820	0	0	0	0	0	0	0	0.717	0.717
ADRB3	NOS3	9606.ENSP00000343782	9606.ENSP00000297494	0	0	0	0	0	0	0	0.549	0.549
ADRB3	LPL	9606.ENSP00000343782	9606.ENSP00000309757	0	0	0	0	0	0	0	0.429	0.429
ADRB3	LEP	9606.ENSP00000343782	9606.ENSP00000312652	0	0	0	0	0.062	0	0	0.587	0.596
ADRB3	SLC2A4	9606.ENSP00000343782	9606.ENSP00000320935	0	0	0	0	0	0	0	0.460	0.460
ADRB3	AKT1	9606.ENSP00000343782	9606.ENSP00000451828	0	0	0	0	0	0.072	0	0.388	0.407
ADRB3	IL6	9606.ENSP00000343782	9606.ENSP00000385675	0	0	0	0	0	0	0	0.412	0.412
ADRB3	NOS1	9606.ENSP00000343782	9606.ENSP00000477999	0	0	0	0	0	0	0	0.440	0.440
ADRB3	SRC	9606.ENSP00000343782	9606.ENSP00000362680	0	0	0	0	0	0.399	0	0.243	0.525
ADRB3	EDN1	9606.ENSP00000343782	9606.ENSP00000368683	0	0	0	0	0	0.157	0	0.542	0.597
ADRB3	INS	9606.ENSP00000343782	9606.ENSP00000380432	0	0	0	0	0	0	0	0.700	0.700
ADRB3	GCG	9606.ENSP00000343782	9606.ENSP00000387662	0	0	0	0	0	0	0.900	0.511	0.949
AKT1	TNFRSF1A	9606.ENSP00000451828	9606.ENSP00000162749	0	0	0	0	0.061	0.330	0	0.572	0.707
AKT1	HMOX1	9606.ENSP00000451828	9606.ENSP00000216117	0	0	0	0	0	0.379	0	0.828	0.889
AKT1	MMP2	9606.ENSP00000451828	9606.ENSP00000219070	0	0	0	0	0.061	0	0	0.833	0.836
AKT1	GSR	9606.ENSP00000451828	9606.ENSP00000221130	0	0	0	0	0.045	0	0	0.449	0.451
AKT1	TGFB1	9606.ENSP00000451828	9606.ENSP00000221930	0	0	0	0	0.076	0.180	0	0.654	0.715
AKT1	SERPINE1	9606.ENSP00000451828	9606.ENSP00000223095	0	0	0	0	0	0	0	0.761	0.761
AKT1	MPO	9606.ENSP00000451828	9606.ENSP00000225275	0	0	0	0	0	0.058	0	0.559	0.567
AKT1	CCL2	9606.ENSP00000451828	9606.ENSP00000225831	0	0	0	0	0	0	0	0.794	0.794
AKT1	IL2	9606.ENSP00000451828	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.793	0.978
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.061	0	0	0.941	0.943
AKT1	IFNG	9606.ENSP00000451828	9606.ENSP00000229135	0	0	0	0	0	0	0	0.530	0.530
AKT1	IL4	9606.ENSP00000451828	9606.ENSP00000231449	0	0	0	0	0.062	0	0	0.656	0.664
AKT1	APOB	9606.ENSP00000451828	9606.ENSP00000233242	0	0	0	0	0	0	0	0.430	0.430
AKT1	MAPK8IP1	9606.ENSP00000451828	9606.ENSP00000241014	0	0	0	0	0	0.433	0	0.588	0.757
AKT1	CAT	9606.ENSP00000451828	9606.ENSP00000241052	0.043	0	0	0	0	0.073	0.900	0.715	0.971
AKT1	APOE	9606.ENSP00000451828	9606.ENSP00000252486	0	0	0	0	0	0	0	0.589	0.589
AKT1	CRP	9606.ENSP00000451828	9606.ENSP00000255030	0	0	0	0	0	0	0	0.545	0.545
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.055	0.160	0	0.826	0.850
AKT1	IL1B	9606.ENSP00000451828	9606.ENSP00000263341	0	0	0	0	0	0.059	0	0.669	0.675
AKT1	NOTCH3	9606.ENSP00000451828	9606.ENSP00000263388	0	0	0	0	0.050	0.133	0	0.523	0.572
AKT1	KDR	9606.ENSP00000451828	9606.ENSP00000263923	0	0	0	0.555	0	0.096	0	0.905	0.458
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.063	0.468	0.900	0.978	0.998
AKT1	FGF2	9606.ENSP00000451828	9606.ENSP00000264498	0	0	0	0	0.062	0.050	0	0.854	0.859
AKT1	ICAM1	9606.ENSP00000451828	9606.ENSP00000264832	0	0	0	0	0	0	0	0.818	0.818
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.054	0.147	0.900	0.941	0.994
AKT1	SOD1	9606.ENSP00000451828	9606.ENSP00000270142	0	0	0	0	0	0.064	0.900	0.640	0.963
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.554	0	0.431	0	0.973	0.678
AKT1	IL18	9606.ENSP00000451828	9606.ENSP00000280357	0	0	0	0	0	0	0	0.707	0.707
AKT1	APP	9606.ENSP00000451828	9606.ENSP00000284981	0	0	0	0	0.063	0.070	0	0.620	0.640
AKT1	PPARG	9606.ENSP00000451828	9606.ENSP00000287820	0	0	0	0	0.061	0.085	0	0.674	0.695
AKT1	HMGCR	9606.ENSP00000451828	9606.ENSP00000287936	0	0	0	0	0	0.052	0	0.521	0.526
AKT1	VCAM1	9606.ENSP00000451828	9606.ENSP00000294728	0	0	0	0	0	0	0	0.791	0.791
AKT1	CSF2	9606.ENSP00000451828	9606.ENSP00000296871	0	0	0	0	0	0	0	0.762	0.762
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0.049	0.693	0.900	0.970	0.999
AKT1	MMP3	9606.ENSP00000451828	9606.ENSP00000299855	0	0	0	0	0	0	0	0.585	0.585
AKT1	IGF1	9606.ENSP00000451828	9606.ENSP00000302665	0	0	0	0	0	0.262	0	0.948	0.960
AKT1	INSR	9606.ENSP00000451828	9606.ENSP00000303830	0	0	0	0.559	0.052	0.288	0.900	0.677	0.948
AKT1	CXCL8	9606.ENSP00000451828	9606.ENSP00000306512	0	0	0	0	0	0	0	0.707	0.707
AKT1	CYCS	9606.ENSP00000451828	9606.ENSP00000307786	0	0	0	0	0	0	0	0.870	0.870
AKT1	PLG	9606.ENSP00000451828	9606.ENSP00000308938	0	0	0	0	0.061	0.050	0	0.608	0.620
AKT1	OLR1	9606.ENSP00000451828	9606.ENSP00000309124	0	0	0	0	0	0.063	0	0.657	0.665
AKT1	TERT	9606.ENSP00000451828	9606.ENSP00000309572	0	0	0	0	0.055	0.379	0.900	0.783	0.985
AKT1	LPL	9606.ENSP00000451828	9606.ENSP00000309757	0	0	0	0	0	0	0	0.501	0.501
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0.055	0.393	0	0.950	0.969
AKT1	LEP	9606.ENSP00000451828	9606.ENSP00000312652	0	0	0	0	0	0	0	0.841	0.841
AKT1	SLC2A4	9606.ENSP00000451828	9606.ENSP00000320935	0	0	0	0	0	0.261	0	0.902	0.925
AKT1	MMP1	9606.ENSP00000451828	9606.ENSP00000322788	0	0	0	0	0	0	0	0.547	0.547
AKT1	HSPA5	9606.ENSP00000451828	9606.ENSP00000324173	0	0	0	0	0	0.417	0	0.810	0.884
AKT1	NOS2	9606.ENSP00000451828	9606.ENSP00000327251	0	0	0	0	0.063	0.065	0.800	0.543	0.909
AKT1	SELE	9606.ENSP00000451828	9606.ENSP00000331736	0	0	0	0	0	0.063	0	0.530	0.540
AKT1	F3	9606.ENSP00000451828	9606.ENSP00000334145	0	0	0	0	0	0	0	0.478	0.478
AKT1	NR1I2	9606.ENSP00000451828	9606.ENSP00000336528	0	0	0	0	0	0.085	0	0.408	0.435
AKT1	FN1	9606.ENSP00000451828	9606.ENSP00000346839	0	0	0	0	0.050	0.261	0	0.856	0.890
AKT1	NR3C2	9606.ENSP00000451828	9606.ENSP00000350815	0	0	0	0	0	0.085	0	0.375	0.403
AKT1	PTGS2	9606.ENSP00000451828	9606.ENSP00000356438	0	0	0	0	0.062	0.058	0	0.848	0.854
AKT1	CD40LG	9606.ENSP00000451828	9606.ENSP00000359663	0	0	0	0	0	0.072	0.900	0.482	0.947
AKT1	PTPN1	9606.ENSP00000451828	9606.ENSP00000360683	0	0	0	0	0.090	0.397	0.900	0.796	0.987
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0.060	0.472	0	0.981	0.990
AKT1	CD40	9606.ENSP00000451828	9606.ENSP00000361359	0	0	0	0	0	0.124	0.900	0.560	0.958
AKT1	MMP9	9606.ENSP00000451828	9606.ENSP00000361405	0	0	0	0	0.061	0	0	0.885	0.887
AKT1	PLAU	9606.ENSP00000451828	9606.ENSP00000361850	0	0	0	0	0	0.050	0	0.536	0.541
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0.391	0.562	0.097	0.546	0.900	0.960	0.978
AKT1	TLR4	9606.ENSP00000451828	9606.ENSP00000363089	0	0	0	0	0.062	0.123	0	0.700	0.731
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0	0	0	0	0.407	0	0.890	0.932
AKT1	EDN1	9606.ENSP00000451828	9606.ENSP00000368683	0	0	0	0	0.061	0	0.900	0.806	0.980
AKT1	G6PD	9606.ENSP00000451828	9606.ENSP00000377192	0	0	0	0	0.087	0	0	0.428	0.455
AKT1	CYP19A1	9606.ENSP00000451828	9606.ENSP00000379683	0	0	0	0	0	0.055	0	0.630	0.635
AKT1	INS	9606.ENSP00000451828	9606.ENSP00000380432	0	0	0	0	0	0.262	0.900	0.967	0.997
AKT1	PPARA	9606.ENSP00000451828	9606.ENSP00000385523	0	0	0	0	0	0.085	0	0.471	0.495
AKT1	IL6	9606.ENSP00000451828	9606.ENSP00000385675	0	0	0	0	0.055	0	0	0.886	0.888
AKT1	GCG	9606.ENSP00000451828	9606.ENSP00000387662	0	0	0	0	0	0	0	0.776	0.776
AKT1	TNF	9606.ENSP00000451828	9606.ENSP00000398698	0	0	0	0	0	0.050	0	0.874	0.876
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.407	0.900	0.867	0.991
AKT1	IL10	9606.ENSP00000451828	9606.ENSP00000412237	0	0	0	0	0	0.079	0	0.821	0.828
AKT1	BDNF	9606.ENSP00000451828	9606.ENSP00000414303	0	0	0	0	0	0.185	0	0.835	0.860
AKT1	CEBPA	9606.ENSP00000451828	9606.ENSP00000427514	0	0	0	0	0.067	0.061	0	0.482	0.507
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.362	0.900	0.827	0.988
AKT1	SOD2	9606.ENSP00000451828	9606.ENSP00000446252	0	0	0	0	0	0	0.900	0.745	0.973
AKT1	LDLR	9606.ENSP00000451828	9606.ENSP00000454071	0	0	0	0	0.055	0.050	0	0.500	0.512
AKT1	PECAM1	9606.ENSP00000451828	9606.ENSP00000457421	0	0	0	0	0	0.050	0	0.676	0.679
AKT1	NOS1	9606.ENSP00000451828	9606.ENSP00000477999	0	0	0	0	0.049	0.065	0.800	0.725	0.944
AKT1	VEGFA	9606.ENSP00000451828	9606.ENSP00000478570	0	0	0	0	0.063	0.342	0	0.950	0.966
APOB	CETP	9606.ENSP00000233242	9606.ENSP00000200676	0	0	0	0	0.064	0	0.900	0.894	0.989
APOB	PON1	9606.ENSP00000233242	9606.ENSP00000222381	0	0	0	0	0.080	0	0.720	0.700	0.915
APOB	SERPINE1	9606.ENSP00000233242	9606.ENSP00000223095	0	0	0	0	0.072	0	0	0.586	0.599
APOB	MPO	9606.ENSP00000233242	9606.ENSP00000225275	0	0	0	0	0.062	0	0	0.551	0.561
APOB	CCL2	9606.ENSP00000233242	9606.ENSP00000225831	0	0	0	0	0	0	0	0.494	0.493
APOB	VEGFA	9606.ENSP00000233242	9606.ENSP00000478570	0	0	0	0	0.061	0	0	0.389	0.401
APOB	HBA1	9606.ENSP00000233242	9606.ENSP00000322421	0	0	0	0	0.070	0	0	0.384	0.402
APOB	IL10	9606.ENSP00000233242	9606.ENSP00000412237	0	0	0	0	0	0	0	0.412	0.412
APOB	IGF1	9606.ENSP00000233242	9606.ENSP00000302665	0	0	0	0	0.063	0	0	0.400	0.413
APOB	F3	9606.ENSP00000233242	9606.ENSP00000334145	0	0	0	0	0	0	0	0.423	0.422
APOB	SLC2A4	9606.ENSP00000233242	9606.ENSP00000320935	0	0	0	0	0.088	0	0	0.394	0.423
APOB	BDNF	9606.ENSP00000233242	9606.ENSP00000414303	0	0	0	0	0	0	0	0.426	0.426
APOB	CAT	9606.ENSP00000233242	9606.ENSP00000241052	0	0	0	0	0.063	0	0	0.434	0.447
APOB	NOS3	9606.ENSP00000233242	9606.ENSP00000297494	0	0	0	0	0	0	0	0.475	0.475
APOB	SELE	9606.ENSP00000233242	9606.ENSP00000331736	0	0	0	0	0.049	0	0	0.474	0.478
APOB	HSPA5	9606.ENSP00000233242	9606.ENSP00000324173	0	0	0	0	0	0.320	0	0.294	0.499
APOB	ICAM1	9606.ENSP00000233242	9606.ENSP00000264832	0	0	0	0	0	0	0	0.511	0.511
APOB	PPARG	9606.ENSP00000233242	9606.ENSP00000287820	0	0	0	0	0.060	0	0	0.504	0.513
APOB	TNF	9606.ENSP00000233242	9606.ENSP00000398698	0	0	0	0	0	0	0	0.536	0.536
APOB	VCAM1	9606.ENSP00000233242	9606.ENSP00000294728	0	0	0	0	0.061	0	0	0.548	0.558
APOB	PPARA	9606.ENSP00000233242	9606.ENSP00000385523	0	0	0	0	0.064	0	0	0.580	0.590
APOB	LEP	9606.ENSP00000233242	9606.ENSP00000312652	0	0	0	0	0	0	0	0.668	0.668
APOB	GCG	9606.ENSP00000233242	9606.ENSP00000387662	0	0	0	0	0	0	0	0.695	0.695
APOB	HMGCR	9606.ENSP00000233242	9606.ENSP00000287936	0	0	0	0	0	0	0	0.709	0.709
APOB	PLG	9606.ENSP00000233242	9606.ENSP00000308938	0	0	0	0	0.227	0.050	0	0.793	0.835
APOB	CRP	9606.ENSP00000233242	9606.ENSP00000255030	0	0	0	0	0.082	0	0	0.836	0.843
APOB	INS	9606.ENSP00000233242	9606.ENSP00000380432	0	0	0	0	0	0	0	0.899	0.900
APOB	PECAM1	9606.ENSP00000233242	9606.ENSP00000457421	0	0	0	0	0	0	0.900	0.198	0.916
APOB	EGFR	9606.ENSP00000233242	9606.ENSP00000275493	0	0	0	0	0.062	0.105	0.900	0.195	0.923
APOB	APP	9606.ENSP00000233242	9606.ENSP00000284981	0	0	0	0	0	0	0.900	0.301	0.927
APOB	FN1	9606.ENSP00000233242	9606.ENSP00000346839	0	0	0	0	0.086	0	0.900	0.381	0.938
APOB	TLR4	9606.ENSP00000233242	9606.ENSP00000363089	0	0	0	0	0	0.063	0.900	0.400	0.938
APOB	OLR1	9606.ENSP00000233242	9606.ENSP00000309124	0	0	0	0	0	0	0.900	0.540	0.952
APOB	LCAT	9606.ENSP00000233242	9606.ENSP00000264005	0	0	0	0	0.064	0	0.720	0.833	0.952
APOB	IL6	9606.ENSP00000233242	9606.ENSP00000385675	0	0	0	0	0	0	0.900	0.589	0.957
APOB	LPL	9606.ENSP00000233242	9606.ENSP00000309757	0	0	0	0	0	0	0.900	0.869	0.986
APOB	LDLR	9606.ENSP00000233242	9606.ENSP00000454071	0	0	0	0	0.061	0.463	0.900	0.943	0.996
APOB	APOE	9606.ENSP00000233242	9606.ENSP00000252486	0	0	0	0	0.320	0.320	0.900	0.924	0.996
APOE	CETP	9606.ENSP00000252486	9606.ENSP00000200676	0	0	0	0	0.061	0	0.720	0.797	0.942
APOE	HMOX1	9606.ENSP00000252486	9606.ENSP00000216117	0	0	0	0	0.061	0	0	0.510	0.520
APOE	MMP2	9606.ENSP00000252486	9606.ENSP00000219070	0	0	0	0	0.076	0	0	0.473	0.492
APOE	PLAT	9606.ENSP00000252486	9606.ENSP00000220809	0	0	0	0	0	0	0	0.416	0.416
APOE	PON1	9606.ENSP00000252486	9606.ENSP00000222381	0	0	0	0	0.062	0	0.720	0.700	0.914
APOE	SERPINE1	9606.ENSP00000252486	9606.ENSP00000223095	0	0	0	0	0	0	0	0.572	0.572
APOE	MPO	9606.ENSP00000252486	9606.ENSP00000225275	0	0	0	0	0	0	0	0.497	0.497
APOE	CCL2	9606.ENSP00000252486	9606.ENSP00000225831	0	0	0	0	0.065	0	0	0.674	0.682
APOE	IFNG	9606.ENSP00000252486	9606.ENSP00000229135	0	0	0	0	0	0	0	0.456	0.456
APOE	IL4	9606.ENSP00000252486	9606.ENSP00000231449	0	0	0	0	0	0	0	0.491	0.491
APOE	CAT	9606.ENSP00000252486	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.498	0.509
APOE	CD40	9606.ENSP00000252486	9606.ENSP00000361359	0	0	0	0	0	0	0	0.400	0.400
APOE	CSF2	9606.ENSP00000252486	9606.ENSP00000296871	0	0	0	0	0	0	0	0.400	0.400
APOE	FGF2	9606.ENSP00000252486	9606.ENSP00000264498	0	0	0	0	0	0	0	0.403	0.403
APOE	KDR	9606.ENSP00000252486	9606.ENSP00000263923	0	0	0	0	0.090	0	0	0.384	0.415
APOE	SRC	9606.ENSP00000252486	9606.ENSP00000362680	0	0	0	0	0	0	0	0.419	0.419
APOE	CYCS	9606.ENSP00000252486	9606.ENSP00000307786	0	0	0	0	0	0	0	0.421	0.420
APOE	GCG	9606.ENSP00000252486	9606.ENSP00000387662	0	0	0	0	0	0	0	0.426	0.426
APOE	TP53	9606.ENSP00000252486	9606.ENSP00000269305	0	0	0	0	0	0	0	0.441	0.441
APOE	ESR1	9606.ENSP00000252486	9606.ENSP00000405330	0	0	0	0	0	0	0	0.444	0.444
APOE	IL18	9606.ENSP00000252486	9606.ENSP00000280357	0	0	0	0	0.061	0	0	0.449	0.460
APOE	SOD2	9606.ENSP00000252486	9606.ENSP00000446252	0	0	0	0	0	0	0	0.479	0.479
APOE	HFE	9606.ENSP00000252486	9606.ENSP00000417404	0	0	0	0	0	0	0	0.479	0.479
APOE	PECAM1	9606.ENSP00000252486	9606.ENSP00000457421	0	0	0	0	0	0	0	0.482	0.482
APOE	CASP3	9606.ENSP00000252486	9606.ENSP00000311032	0	0	0	0	0	0	0	0.483	0.483
APOE	SOD1	9606.ENSP00000252486	9606.ENSP00000270142	0	0	0	0	0	0	0	0.515	0.515
APOE	PPARA	9606.ENSP00000252486	9606.ENSP00000385523	0	0	0	0	0.061	0	0	0.510	0.520
APOE	F3	9606.ENSP00000252486	9606.ENSP00000334145	0	0	0	0	0.061	0	0	0.523	0.533
APOE	CXCL8	9606.ENSP00000252486	9606.ENSP00000306512	0	0	0	0	0	0	0	0.534	0.534
APOE	IGF1	9606.ENSP00000252486	9606.ENSP00000302665	0	0	0	0	0.061	0	0	0.530	0.539
APOE	PLG	9606.ENSP00000252486	9606.ENSP00000308938	0	0	0	0	0.063	0	0	0.531	0.541
APOE	EDN1	9606.ENSP00000252486	9606.ENSP00000368683	0	0	0	0	0	0	0	0.541	0.541
APOE	SELE	9606.ENSP00000252486	9606.ENSP00000331736	0	0	0	0	0	0	0	0.565	0.565
APOE	VEGFA	9606.ENSP00000252486	9606.ENSP00000478570	0	0	0	0	0	0	0	0.572	0.572
APOE	TLR4	9606.ENSP00000252486	9606.ENSP00000363089	0	0	0	0	0	0	0	0.586	0.586
APOE	OLR1	9606.ENSP00000252486	9606.ENSP00000309124	0	0	0	0	0	0	0	0.601	0.601
APOE	HMGCR	9606.ENSP00000252486	9606.ENSP00000287936	0	0	0	0	0	0	0	0.668	0.668
APOE	ICAM1	9606.ENSP00000252486	9606.ENSP00000264832	0	0	0	0	0.061	0	0	0.661	0.668
APOE	CRP	9606.ENSP00000252486	9606.ENSP00000255030	0	0	0	0	0	0	0	0.680	0.680
APOE	NOS3	9606.ENSP00000252486	9606.ENSP00000297494	0	0	0	0	0.061	0	0	0.701	0.707
APOE	IL1B	9606.ENSP00000252486	9606.ENSP00000263341	0	0	0	0	0	0	0	0.731	0.731
APOE	VCAM1	9606.ENSP00000252486	9606.ENSP00000294728	0	0	0	0	0.069	0.044	0	0.731	0.740
APOE	IL10	9606.ENSP00000252486	9606.ENSP00000412237	0	0	0	0	0	0	0	0.751	0.751
APOE	LEP	9606.ENSP00000252486	9606.ENSP00000312652	0	0	0	0	0	0	0	0.774	0.775
